[00:00:00 - 00:00:02]   장비를 꺼내, 아줌마야, 빨리!
[00:00:02 - 00:00:05]   잠깐만요, 트렁크에서 GPS를 꺼낼게요.
[00:00:09 - 00:00:12]   살았다! 화장실! 화장실 어딨냐?
[00:00:16 - 00:00:17]   깜짝이야!
[00:00:17 - 00:00:18]   누구세요?
[00:00:24 - 00:00:25]   뭐야?
[00:00:26 - 00:00:29]   에이, 하마터면 바지에 쌀 뻔했네.
[00:00:29 - 00:00:31]   빨리 좀 움직이지 그랬냐?
[00:00:31 - 00:00:34]   너 새끼, 너 아까 저기 낮에 저기...
[00:00:34 - 00:00:35]   사장님?
[00:00:35 - 00:00:37]   아, 고생이 많다, 야.
[00:00:37 - 00:00:39]   우리 식구들 아직 안 왔니?
[00:00:39 - 00:00:41]   아니, 안 들려? 오냐고!
[00:00:42 - 00:00:44]   여보세요?
[00:00:44 - 00:00:45]   아, 뭐해? 안 오고.
[00:00:45 - 00:00:48]   야! 누구시냐고!
[00:00:48 - 00:00:49]   뭐?
[00:00:49 - 00:00:50]   뭐, 뒤에서?
[00:00:50 - 00:00:53]   기름도 안 넣고 상황 대기하고 있었다고?
[00:00:53 - 00:00:55]   나 진짜 장난...
[00:00:55 - 00:00:57]   아, 빨리 와! 배고파 뒤지겠어!
[00:01:00 - 00:01:02]   뭐하냐, 안 차고?
[00:01:02 - 00:01:04]   너 어디 식구들 이런 거 가지고 작업하냐?
[00:01:06 - 00:01:08]   에이, 그러지 마.
[00:01:08 - 00:01:10]   다쳐.
[00:01:23 - 00:01:26]   이 새끼, 돌았나?
[00:01:54 - 00:01:56]   이 새끼, 돌았나?
[00:01:57 - 00:01:58]   으악!
[00:02:19 - 00:02:21]   송장, 그만!
[00:02:21 - 00:02:22]   야, 들어가!
[00:02:22 - 00:02:25]   왜 굴러다니고 지랄이야, 정신사납게!
[00:02:25 - 00:02:26]   차 안 상했어?
[00:02:26 - 00:02:29]   형님이 이러니까 맨날 똥차 소리나 듣고 승진이 안 되는 거야.
[00:02:29 - 00:02:31]   내가 그랬지, 사람 다쳤나 먼저 물어보라고.
[00:02:32 - 00:02:33]   야, 이 새끼야!
[00:02:33 - 00:02:34]   얘야?
[00:02:34 - 00:02:35]   일어나, 이 새끼야!
[00:02:35 - 00:02:37]   변호사 빌려!
[00:02:44 - 00:02:45]   큰일 날 뻔했네.
[00:02:45 - 00:02:47]   내가 전화를 한 통 안 된다니까 깜빡했네.
[00:02:47 - 00:02:49]   저, 부재중이라고.
[00:02:49 - 00:02:51]   야, 서도철!
[00:02:51 - 00:02:54]   나 전화 한 통 올 테니까 너 여기 꼼짝 말고 있어.
[00:02:54 - 00:02:56]   아니, 잠깐만!
[00:02:56 - 00:02:59]   너 이번에도 애 병신 만들면 내가 커버를 못 해줘요.
[00:02:59 - 00:03:02]   저때 우리 하우스 틀었을 때 애 괜히 손 대가지고
[00:03:02 - 00:03:06]   걔 지금 밥 먹을 때 턱받이 하고 침 질질 나면서 밥 먹는다니까.
[00:03:06 - 00:03:08]   밥 주면 막 좋아하고.
[00:03:08 - 00:03:12]   아, 얘 이거 사람 때리고 싶어서 형사 돼가지고 골치 아픈데, 진짜.
[00:03:24 - 00:03:25]   고맙다.
[00:03:50 - 00:03:52]   이리와. 이리와. 괜찮아, 인마.
[00:03:52 - 00:03:54]   잡아, 두 손으로. 그렇지.
